subject_id,session_id,trial_id,emotion,label_id,n_channels,n_samples,duration_sec,file_path,mat_key
1,1,1,Happy,3,62,12200,61.0,F:\SEED_EEG_3D\SEED-VII_EEG_preprocessed\SEED-VII\EEG_preprocessed\1.mat,1
1,1,2,Neutral,4,62,44400,222.0,F:\SEED_EEG_3D\SEED-VII_EEG_preprocessed\SEED-VII\EEG_preprocessed\1.mat,2
1,1,3,Disgust,1,62,37800,189.0,F:\SEED_EEG_3D\SEED-VII_EEG_preprocessed\SEED-VII\EEG_preprocessed\1.mat,3
1,1,4,Sad,5,62,45800,229.0,F:\SEED_EEG_3D\SEED-VII_EEG_preprocessed\SEED-VII\EEG_preprocessed\1.mat,4
1,1,5,Anger,0,62,53200,266.0,F:\SEED_EEG_3D\SEED-VII_EEG_preprocessed\SEED-VII\EEG_preprocessed\1.mat,5
1,1,6,Anger,0,62,43800,219.0,F:\SEED_EEG_3D\SEED-VII_EEG_preprocessed\SEED-VII\EEG_preprocessed\1.mat,6
1,1,7,Sad,5,62,52800,264.0,F:\SEED_EEG_3D\SEED-VII_EEG_preprocessed\SEED-VII\EEG_preprocessed\1.mat,7
1,1,8,Disgust,1,62,30000,150.0,F:\SEED_EEG_3D\SEED-VII_EEG_preprocessed\SEED-VII\EEG_preprocessed\1.mat,8
1,1,9,Neutral,4,62,47200,236.0,F:\SEED_EEG_3D\SEED-VII_EEG_preprocessed\SEED-VII\EEG_preprocessed\1.mat,9
1,1,10,Happy,3,62,51800,259.0,F:\SEED_EEG_3D\SEED-VII_EEG_preprocessed\SEED-VII\EEG_preprocessed\1.mat,10
1,1,11,Happy,3,62,23600,118.0,F:\SEED_EEG_3D\SEED-VII_EEG_preprocessed\SEED-VII\EEG_preprocessed\1.mat,11
1,1,12,Neutral,4,62,14600,73.0,F:\SEED_EEG_3D\SEED-VII_EEG_preprocessed\SEED-VII\EEG_preprocessed\1.mat,12
1,1,13,Disgust,1,62,31600,158.0,F:\SEED_EEG_3D\SEED-VII_EEG_preprocessed\SEED-VII\EEG_preprocessed\1.mat,13
1,1,14,Sad,5,62,43800,219.0,F:\SEED_EEG_3D\SEED-VII_EEG_preprocessed\SEED-VII\EEG_preprocessed\1.mat,14
1,1,15,Anger,0,62,29400,147.0,F:\SEED_EEG_3D\SEED-VII_EEG_preprocessed\SEED-VII\EEG_preprocessed\1.mat,15
1,1,16,Anger,0,62,65800,329.0,F:\SEED_EEG_3D\SEED-VII_EEG_preprocessed\SEED-VII\EEG_preprocessed\1.mat,16
1,1,17,Sad,5,62,48200,241.0,F:\SEED_EEG_3D\SEED-VII_EEG_preprocessed\SEED-VII\EEG_preprocessed\1.mat,17
1,1,18,Disgust,1,62,35800,179.0,F:\SEED_EEG_3D\SEED-VII_EEG_preprocessed\SEED-VII\EEG_preprocessed\1.mat,18
1,1,19,Neutral,4,62,47400,237.0,F:\SEED_EEG_3D\SEED-VII_EEG_preprocessed\SEED-VII\EEG_preprocessed\1.mat,19
1,1,20,Happy,3,62,35000,175.0,F:\SEED_EEG_3D\SEED-VII_EEG_preprocessed\SEED-VII\EEG_preprocessed\1.mat,20
